username,full_name,image_formula,profile_pic_url,user_id,profile_url
nazarena.py,NAZARENA | Tienda de ropas,"=IMAGE(D12, 4, 50, 100)",https://instagram.faep14-3.fna.fbcdn.net/v/t51.2885-19/422012850_352790860895798_3576731597284611272_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-3.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Da_P6wcfrQEQ7kNvgGUzI8h&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYAwL0hUb0WTVQuuuCKvsMVJGgwNYFwj7J2lfpV_a5x-Cg&oe=66B99A49&_nc_sid=8ec269,5439695112,https://www.instagram.com/nazarena.py/
wargo__,Ropa | Accesorios Gym,"=IMAGE(D13, 4, 50, 100)",https://instagram.faep14-3.fna.fbcdn.net/v/t51.2885-19/272336658_145906161196684_3211856379648731200_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-3.fna.fbcdn.net&_nc_cat=1&_nc_ohc=YxxwmEa2KZAQ7kNvgGFgzES&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYDdNvYwFS2kF_0Cz3PFizQ8UQKHEIPkslvhMFdsJ_ZYJw&oe=66B974BE&_nc_sid=8ec269,7208224230,https://www.instagram.com/wargo__/
kulluwale_ropar,Kullu Wale (SELECTION CORNER),"=IMAGE(D14, 4, 50, 100)",https://instagram.faep14-2.fna.fbcdn.net/v/t51.2885-19/367974686_145399605272554_4286241484572632760_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ogmYb1_OAl0Q7kNvgGNnB9q&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYABjDh0KoVxDSqIWRcU0qyqYUdAjeet1rIHvXm5xdYyWg&oe=66B977AD&_nc_sid=8ec269,56054778368,https://www.instagram.com/kulluwale_ropar/
ropagallardo_ec,Ropa Gallardo,"=IMAGE(D15, 4, 50, 100)",https://instagram.faep14-3.fna.fbcdn.net/v/t51.2885-19/449531847_1949016965546448_586047767991240573_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-3.fna.fbcdn.net&_nc_cat=100&_nc_ohc=vFL4n3-Xz9MQ7kNvgEt-DKW&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYATKBBSxkLIzrg39uA60ZS44LLQywjr9h0LIVNhpY-L6Q&oe=66B99805&_nc_sid=8ec269,1788309788,https://www.instagram.com/ropagallardo_ec/
dreamshop.ropa,BENDITO® JEANS | BLAZER | BLUSAS,"=IMAGE(D16, 4, 50, 100)",https://instagram.faep14-2.fna.fbcdn.net/v/t51.2885-19/327032370_848323966454638_1106112806218440580_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Xsg7CGeTmaoQ7kNvgF4UGMW&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYDcYGwLPK_Ykvansca9sZDzXGkfbf0izVh3R-sdcNaRHg&oe=66B9841C&_nc_sid=8ec269,4872901608,https://www.instagram.com/dreamshop.ropa/
ciudadela.ar,Medias y Ropa Interior - minorista y mayorista,"=IMAGE(D17, 4, 50, 100)",https://instagram.faep14-2.fna.fbcdn.net/v/t51.2885-19/376216321_256315484032796_5074808250564955003_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=EiIRsCT2TP8Q7kNvgFv3OQh&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYDlCDYEizuXZ23wB6MY8E3_I1ede0khHj1Nmdu1nu6-4w&oe=66B99AD1&_nc_sid=8ec269,3275097651,https://www.instagram.com/ciudadela.ar/
ropa_sportshop,لباس ورزشی(لگ،کاور،نیم تنه...),"=IMAGE(D18, 4, 50, 100)",https://instagram.faep14-2.fna.fbcdn.net/v/t51.2885-19/377771660_266172746322003_211202743952091930_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=230dqEOcA-gQ7kNvgHvH7ry&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYBlc8_kQJbdVaP8x2sFGftbY7JmdxBWQT9Sbx069tkiQQ&oe=66B99240&_nc_sid=8ec269,4035005823,https://www.instagram.com/ropa_sportshop/
lara.galeano,Ropa de mujer | Indumentaria femenina,"=IMAGE(D19, 4, 50, 100)",https://instagram.faep14-2.fna.fbcdn.net/v/t51.2885-19/426162951_7129428577145809_4015264653120752395_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=jDIw2xOBSIsQ7kNvgHd_-mC&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYC9_6KwiFeSgY7ym9NkRdKP8FbeeS0irQU4_1ZdjP_WFg&oe=66B99E07&_nc_sid=8ec269,3425935270,https://www.instagram.com/lara.galeano/
dawomenstore,BOUTIQUE 🛍️ ROPA FEMENINA 💅 | SHORT | JEANS | BLUSAS | CARGO,"=IMAGE(D20, 4, 50, 100)",https://instagram.faep14-2.fna.fbcdn.net/v/t51.2885-19/427856092_382010137904382_1226735819448579790_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=rh7_VuNvxIEQ7kNvgG_XTIy&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYABBMWgVQuaZ8adnckGpeCoYWKCYpL6LIZUT9ZB1UrnyQ&oe=66B986B4&_nc_sid=8ec269,45524744335,https://www.instagram.com/dawomenstore/
closettboutique1,Ropa para chicas💕,"=IMAGE(D21, 4, 50, 100)",https://instagram.faep14-3.fna.fbcdn.net/v/t51.2885-19/326400443_716876463374531_1885398285020178599_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.faep14-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=srwM02Azep8Q7kNvgHZfJ4v&edm=AM7KJZYBAAAA&ccb=7-5&oh=00_AYBpg0_edi869Qp1cD0iJI2q9pODfjB2JI8hBxiGoephZA&oe=66B99F4C&_nc_sid=8ec269,15878316790,https://www.instagram.com/closettboutique1/
